"date","QUANTITY"
2010-06-19,1024
2010-06-20,376
2010-06-21,1134
2010-06-22,1006
2010-06-23,1238
2010-06-24,1113
2010-06-25,888
2010-06-26,906
2010-06-27,404
2010-06-28,716
2010-06-29,840
2010-06-30,895
2010-07-01,877
2010-07-02,794
2010-07-03,634
2010-07-04,283
2010-07-05,1096
2010-07-06,977
2010-07-07,540
2010-07-08,750
2010-07-09,854
2010-07-10,839
2010-07-11,299
2010-07-12,847
2010-07-13,1083
2010-07-14,1073
2010-07-15,898
2010-07-16,1027
2010-07-17,1220
2010-07-18,656
2010-07-19,1271
2010-07-20,1161
2010-07-21,1077
2010-07-22,926
2010-07-23,835
2010-07-24,237
2010-07-25,138
2010-07-26,232
2010-07-27,724
2010-07-28,511
2010-07-29,610
2010-07-30,582
2010-07-31,299
2010-08-01,216
2010-08-02,729
2010-08-03,806
2010-08-04,799
2010-08-05,793
2010-08-06,605
2010-08-07,579
2010-08-08,457
2010-08-09,744
2010-08-10,751
2010-08-11,899
2010-08-12,580
2010-08-13,462
2010-08-14,793
2010-08-15,262
2010-08-16,190
2010-08-17,3226
2010-08-18,130
2010-08-19,142
2010-08-20,52
2010-08-21,352
2010-08-22,196
2010-08-23,44
2010-08-24,132
2010-08-25,118
2010-08-26,99
2010-08-27,55
2010-08-28,212
2010-08-29,148
2010-08-30,138
2010-08-31,108
2010-09-01,140
2010-09-02,103
2010-09-03,51
2010-09-04,137
2010-09-05,150
2010-09-06,129
2010-09-07,132
2010-09-08,114
2010-09-09,98
2010-09-10,47
2010-09-11,126
2010-09-12,122
2010-09-13,107
2010-09-14,115
2010-09-15,129
2010-09-16,115
2010-09-17,43
2010-09-18,215
2010-09-19,156
2010-09-20,115
2010-09-21,114
2010-09-22,92
2010-09-23,65
2010-09-24,33
2010-09-25,219
2010-09-26,91
2010-09-27,94
2010-09-28,122
2010-09-29,116
2010-09-30,112
2010-10-01,49
2010-10-02,160
2010-10-03,96
2010-10-04,96
2010-10-05,103
2010-10-06,128
2010-10-07,114
2010-10-08,47
2010-10-09,96
2010-10-10,88
2010-10-11,76
2010-10-12,111
2010-10-13,111
2010-10-14,111
2010-10-15,45
2010-10-16,135
2010-10-17,73
2010-10-18,84
2010-10-19,93
2010-10-20,109
2010-10-21,78
2010-10-22,34
2010-10-23,98
2010-10-24,70
2010-10-25,71
2010-10-26,90
2010-10-27,89
2010-10-28,83
2010-10-29,32
2010-10-30,86
2010-10-31,69
2010-11-01,69
2010-11-02,83
2010-11-03,103
2010-11-04,95
2010-11-05,37
2010-11-06,133
2010-11-07,95
2010-11-08,67
2010-11-09,74
2010-11-10,119
2010-11-11,83
2010-11-12,58
2010-11-13,104
2010-11-14,86
2010-11-15,70
2010-11-16,78
2010-11-17,93
2010-11-18,58
2010-11-19,43
2010-11-20,149
2010-11-21,88
2010-11-22,84
2010-11-23,74
2010-11-24,94
2010-11-25,0
2010-11-26,41
2010-11-27,109
2010-11-28,64
2010-11-29,67
2010-11-30,69
2010-12-01,91
2010-12-02,45
2010-12-03,33
2010-12-04,117
2010-12-05,67
2010-12-06,84
2010-12-07,90
2010-12-08,82
2010-12-09,70
2010-12-10,44
2010-12-11,131
2010-12-12,56
2010-12-13,59
2010-12-14,74
2010-12-15,66
2010-12-16,41
2010-12-17,19
2010-12-18,140
2010-12-19,73
2010-12-20,113
2010-12-21,105
2010-12-22,86
2010-12-23,80
2010-12-24,30
2010-12-25,0
2010-12-26,73
2010-12-27,125
2010-12-28,136
2010-12-29,130
2010-12-30,100
2010-12-31,48
2011-01-01,0
2011-01-02,94
2011-01-03,119
2011-01-04,114
2011-01-05,105
2011-01-06,64
2011-01-07,39
2011-01-08,107
2011-01-09,111
2011-01-10,86
2011-01-11,72
2011-01-12,98
2011-01-13,86
2011-01-14,52
2011-01-15,149
2011-01-16,88
2011-01-17,91
2011-01-18,70
2011-01-19,82
2011-01-20,93
2011-01-21,33
2011-01-22,125
2011-01-23,68
2011-01-24,102
2011-01-25,79
2011-01-26,82
2011-01-27,70
2011-01-28,45
2011-01-29,108
2011-01-30,80
2011-01-31,68
2011-02-01,0
2011-02-02,36
2011-02-03,29
2011-02-04,0
2011-02-05,78
2011-02-06,63
2011-02-07,56
2011-02-08,88
2011-02-09,92
2011-02-10,57
2011-02-11,43
2011-02-12,109
2011-02-13,71
2011-02-14,70
2011-02-15,88
2011-02-16,104
2011-02-17,76
2011-02-18,47
2011-02-19,167
2011-02-20,81
2011-02-21,82
2011-02-22,69
2011-02-23,105
2011-02-24,82
2011-02-25,35
2011-02-26,134
2011-02-27,76
2011-02-28,87
2011-03-01,91
2011-03-02,93
2011-03-03,109
2011-03-04,47
2011-03-05,146
2011-03-06,97
2011-03-07,97
2011-03-08,98
2011-03-09,83
2011-03-10,111
2011-03-11,43
2011-03-12,180
2011-03-13,92
2011-03-14,171
2011-03-15,136
2011-03-16,282
2011-03-17,256
2011-03-18,35
2011-03-19,255
2011-03-20,110
2011-03-21,132
2011-03-22,94
2011-03-23,107
2011-03-24,93
2011-03-25,51
2011-03-26,180
2011-03-27,83
2011-03-28,117
2011-03-29,90
2011-03-30,97
2011-03-31,92
2011-04-01,43
2011-04-02,278
2011-04-03,97
2011-04-04,84
2011-04-05,79
2011-04-06,104
2011-04-07,96
2011-04-08,61
2011-04-09,279
2011-04-10,87
2011-04-11,112
2011-04-12,107
2011-04-13,135
2011-04-14,102
2011-04-15,63
2011-04-16,254
2011-04-17,107
2011-04-18,128
2011-04-19,133
2011-04-20,149
2011-04-21,130
2011-04-22,64
2011-04-23,337
2011-04-24,0
2011-04-25,133
2011-04-26,92
2011-04-27,99
2011-04-28,111
2011-04-29,56
2011-04-30,328
2011-05-01,69
2011-05-02,106
2011-05-03,100
2011-05-04,188
2011-05-05,115
2011-05-06,53
2011-05-07,294
2011-05-08,126
2011-05-09,120
2011-05-10,119
2011-05-11,114
2011-05-12,100
2011-05-13,50
2011-05-14,336
2011-05-15,151
2011-05-16,187
2011-05-17,141
2011-05-18,128
2011-05-19,113
2011-05-20,141
2011-05-21,299
2011-05-22,127
2011-05-23,176
2011-05-24,161
2011-05-25,195
2011-05-26,143
2011-05-27,196
2011-05-28,1072
2011-05-29,445
2011-05-30,1200
2011-05-31,1056
2011-06-01,1346
2011-06-02,1215
2011-06-03,1292
2011-06-04,1499
2011-06-05,771
2011-06-06,1596
2011-06-07,1530
2011-06-08,1939
2011-06-09,1569
2011-06-10,1266
2011-06-11,1542
2011-06-12,676
2011-06-13,1372
2011-06-14,1472
2011-06-15,1477
2011-06-16,1592
2011-06-17,1107
2011-06-18,1393
2011-06-19,502
2011-06-20,1017
2011-06-21,1555
2011-06-22,1374
2011-06-23,1503
2011-06-24,1368
2011-06-25,1492
2011-06-26,701
2011-06-27,1401
2011-06-28,1380
2011-06-29,1325
2011-06-30,1151
2011-07-01,1105
2011-07-02,1266
2011-07-03,676
2011-07-04,937
2011-07-05,1206
2011-07-06,1330
2011-07-07,1481
2011-07-08,1105
2011-07-09,1405
2011-07-10,796
2011-07-11,862
2011-07-12,985
2011-07-13,1191
2011-07-14,1029
2011-07-15,915
2011-07-16,1217
2011-07-17,636
2011-07-18,1008
2011-07-19,1055
2011-07-20,1025
2011-07-21,885
2011-07-22,831
2011-07-23,1047
2011-07-24,670
2011-07-25,809
2011-07-26,1040
2011-07-27,984
2011-07-28,1032
2011-07-29,507
2011-07-30,734
2011-07-31,432
2011-08-01,819
2011-08-02,851
2011-08-03,718
2011-08-04,807
2011-08-05,585
2011-08-06,795
2011-08-07,517
2011-08-08,808
2011-08-09,926
2011-08-10,807
2011-08-11,618
2011-08-12,733
2011-08-13,547
2011-08-14,403
2011-08-15,111
2011-08-16,115
2011-08-17,58
2011-08-18,88
2011-08-19,32
2011-08-20,224
2011-08-21,159
2011-08-22,152
2011-08-23,163
2011-08-24,88
2011-08-25,99
2011-08-26,73
2011-08-27,218
2011-08-28,209
2011-08-29,96
2011-08-30,111
2011-08-31,86
2011-09-01,63
2011-09-02,56
2011-09-03,231
2011-09-04,114
2011-09-05,89
2011-09-06,92
2011-09-07,106
2011-09-08,87
2011-09-09,39
2011-09-10,105
2011-09-11,91
2011-09-12,87
2011-09-13,104
2011-09-14,101
2011-09-15,76
2011-09-16,53
2011-09-17,97
2011-09-18,70
2011-09-19,85
2011-09-20,88
2011-09-21,90
2011-09-22,77
2011-09-23,55
2011-09-24,103
2011-09-25,70
2011-09-26,84
2011-09-27,84
2011-09-28,95
2011-09-29,68
2011-09-30,45
2011-10-01,104
2011-10-02,104
2011-10-03,69
2011-10-04,84
2011-10-05,80
2011-10-06,69
2011-10-07,38
2011-10-08,74
2011-10-09,71
2011-10-10,75
2011-10-11,74
2011-10-12,108
2011-10-13,93
2011-10-14,44
2011-10-15,78
2011-10-16,90
2011-10-17,84
2011-10-18,87
2011-10-19,101
2011-10-20,75
2011-10-21,46
2011-10-22,111
2011-10-23,75
2011-10-24,71
2011-10-25,75
2011-10-26,78
2011-10-27,59
2011-10-28,42
2011-10-29,61
2011-10-30,65
2011-10-31,55
2011-11-01,79
2011-11-02,70
2011-11-03,70
2011-11-04,32
2011-11-05,78
2011-11-06,55
2011-11-07,72
2011-11-08,62
2011-11-09,88
2011-11-10,70
2011-11-11,54
2011-11-12,64
2011-11-13,64
2011-11-14,86
2011-11-15,110
2011-11-16,107
2011-11-17,73
2011-11-18,51
2011-11-19,73
2011-11-20,75
2011-11-21,82
2011-11-22,77
2011-11-23,82
2011-11-24,0
2011-11-25,50
2011-11-26,61
2011-11-27,77
2011-11-28,110
2011-11-29,90
2011-11-30,92
2011-12-01,67
2011-12-02,42
2011-12-03,69
2011-12-04,59
2011-12-05,39
2011-12-06,61
2011-12-07,67
2011-12-08,67
2011-12-09,45
2011-12-10,96
2011-12-11,79
2011-12-12,83
2011-12-13,71
2011-12-14,78
2011-12-15,61
2011-12-16,56
2011-12-17,53
2011-12-18,90
2011-12-19,41
2011-12-20,50
2011-12-21,85
2011-12-22,60
2011-12-23,31
2011-12-24,0
2011-12-25,0
2011-12-26,93
2011-12-27,87
2011-12-28,114
2011-12-29,93
2011-12-30,101
2011-12-31,0
2012-01-01,0
2012-01-02,88
2012-01-03,83
2012-01-04,106
2012-01-05,104
2012-01-06,47
2012-01-07,127
2012-01-08,127
2012-01-09,110
2012-01-10,91
2012-01-11,87
2012-01-12,124
2012-01-13,60
2012-01-14,117
2012-01-15,115
2012-01-16,106
2012-01-17,109
2012-01-18,83
2012-01-19,100
2012-01-20,60
2012-01-21,103
2012-01-22,81
2012-01-23,109
2012-01-24,101
2012-01-25,114
2012-01-26,98
2012-01-27,65
2012-01-28,121
2012-01-29,102
2012-01-30,108
2012-01-31,104
2012-02-01,120
2012-02-02,102
2012-02-03,63
2012-02-04,100
2012-02-05,91
2012-02-06,94
2012-02-07,85
2012-02-08,103
2012-02-09,75
2012-02-10,62
2012-02-11,76
2012-02-12,83
2012-02-13,82
2012-02-14,58
2012-02-15,55
2012-02-16,46
2012-02-17,49
2012-02-18,70
2012-02-19,83
2012-02-20,81
2012-02-21,85
2012-02-22,111
2012-02-23,74
2012-02-24,55
2012-02-25,105
2012-02-26,113
2012-02-27,117
2012-02-28,117
2012-02-29,98
2012-03-01,70
2012-03-02,53
2012-03-03,115
2012-03-04,79
2012-03-05,122
2012-03-06,110
2012-03-07,126
2012-03-08,81
2012-03-09,52
2012-03-10,89
2012-03-11,129
2012-03-12,159
2012-03-13,171
2012-03-14,214
2012-03-15,215
2012-03-16,50
2012-03-17,151
2012-03-18,110
2012-03-19,104
2012-03-20,113
2012-03-21,151
2012-03-22,98
2012-03-23,66
2012-03-24,219
2012-03-25,115
2012-03-26,167
2012-03-27,152
2012-03-28,159
2012-03-29,162
2012-03-30,55
2012-03-31,283
2012-04-01,144
2012-04-02,105
2012-04-03,90
2012-04-04,143
2012-04-05,125
2012-04-06,59
2012-04-07,221
2012-04-08,0
2012-04-09,156
2012-04-10,129
2012-04-11,175
2012-04-12,100
2012-04-13,71
2012-04-14,175
2012-04-15,59
2012-04-16,134
2012-04-17,126
2012-04-18,147
2012-04-19,124
2012-04-20,70
2012-04-21,296
2012-04-22,165
2012-04-23,72
2012-04-24,194
2012-04-25,210
2012-04-26,135
2012-04-27,51
2012-04-28,346
2012-04-29,284
2012-04-30,265
2012-05-01,166
2012-05-02,189
2012-05-03,156
2012-05-04,59
2012-05-05,336
2012-05-06,415
2012-05-07,144
2012-05-08,95
2012-05-09,152
2012-05-10,167
2012-05-11,62
2012-05-12,312
2012-05-13,121
2012-05-14,148
2012-05-15,201
2012-05-16,167
2012-05-17,191
2012-05-18,56
2012-05-19,320
2012-05-20,220
2012-05-21,362
2012-05-22,341
2012-05-23,234
2012-05-24,233
2012-05-25,55
2012-05-26,1021
2012-05-27,462
2012-05-28,1478
2012-05-29,1151
2012-05-30,1454
2012-05-31,1564
2012-06-01,1166
2012-06-02,1519
2012-06-03,866
2012-06-04,794
2012-06-05,1438
2012-06-06,1623
2012-06-07,1660
2012-06-08,1500
2012-06-09,1520
2012-06-10,896
2012-06-11,1161
2012-06-12,1452
2012-06-13,1469
2012-06-14,1409
2012-06-15,1082
2012-06-16,879
2012-06-17,586
2012-06-18,1384
2012-06-19,1421
2012-06-20,1407
2012-06-21,1074
2012-06-22,1274
2012-06-23,1188
2012-06-24,854
2012-06-25,1252
2012-06-26,1719
2012-06-27,1419
2012-06-28,1477
2012-06-29,1071
2012-06-30,1438
2012-07-01,871
2012-07-02,1278
2012-07-03,1174
2012-07-04,1087
2012-07-05,741
2012-07-06,687
2012-07-07,595
2012-07-08,712
2012-07-09,756
2012-07-10,831
2012-07-11,1054
2012-07-12,979
2012-07-13,810
2012-07-14,1161
2012-07-15,651
2012-07-16,920
2012-07-17,1101
2012-07-18,956
2012-07-19,1073
2012-07-20,820
2012-07-21,913
2012-07-22,501
2012-07-23,821
2012-07-24,760
2012-07-25,947
2012-07-26,644
2012-07-27,775
2012-07-28,754
2012-07-29,538
2012-07-30,822
2012-07-31,945
2012-08-01,969
2012-08-02,1084
2012-08-03,726
2012-08-04,774
2012-08-05,502
2012-08-06,768
2012-08-07,928
2012-08-08,815
2012-08-09,763
2012-08-10,731
2012-08-11,990
2012-08-12,614
2012-08-13,106
2012-08-14,105
2012-08-15,130
2012-08-16,51
2012-08-17,74
2012-08-18,456
2012-08-19,541
2012-08-20,117
2012-08-21,178
2012-08-22,171
2012-08-23,143
2012-08-24,73
2012-08-25,301
2012-08-26,413
2012-08-27,159
2012-08-28,202
2012-08-29,151
2012-08-30,146
2012-08-31,67
2012-09-01,200
2012-09-02,364
2012-09-03,205
2012-09-04,170
2012-09-05,148
2012-09-06,144
2012-09-07,62
2012-09-08,128
2012-09-09,220
2012-09-10,162
2012-09-11,154
2012-09-12,130
2012-09-13,103
2012-09-14,86
2012-09-15,139
2012-09-16,180
2012-09-17,118
2012-09-18,113
2012-09-19,112
2012-09-20,88
2012-09-21,55
2012-09-22,115
2012-09-23,185
2012-09-24,123
2012-09-25,118
2012-09-26,123
2012-09-27,123
2012-09-28,48
2012-09-29,106
2012-09-30,142
2012-10-01,150
2012-10-02,132
2012-10-03,148
2012-10-04,99
2012-10-05,62
2012-10-06,117
2012-10-07,133
2012-10-08,108
2012-10-09,104
2012-10-10,113
2012-10-11,63
2012-10-12,50
2012-10-13,101
2012-10-14,132
2012-10-15,94
2012-10-16,116
2012-10-17,124
2012-10-18,83
2012-10-19,56
2012-10-20,98
2012-10-21,118
2012-10-22,100
2012-10-23,114
2012-10-24,105
2012-10-25,84
2012-10-26,58
2012-10-27,94
2012-10-28,105
2012-10-29,93
2012-10-30,95
2012-10-31,73
2012-11-01,76
2012-11-02,46
2012-11-03,121
2012-11-04,142
2012-11-05,92
2012-11-06,82
2012-11-07,103
2012-11-08,91
2012-11-09,59
2012-11-10,81
2012-11-11,99
2012-11-12,85
2012-11-13,87
2012-11-14,99
2012-11-15,74
2012-11-16,62
2012-11-17,54
2012-11-18,145
2012-11-19,100
2012-11-20,90
2012-11-21,103
2012-11-22,0
2012-11-23,64
2012-11-24,115
2012-11-25,150
2012-11-26,102
2012-11-27,86
2012-11-28,89
2012-11-29,99
2012-11-30,57
2012-12-01,132
2012-12-02,156
2012-12-03,93
2012-12-04,103
2012-12-05,106
2012-12-06,103
2012-12-07,45
2012-12-08,108
2012-12-09,127
2012-12-10,70
2012-12-11,105
2012-12-12,97
2012-12-13,79
2012-12-14,54
2012-12-15,141
2012-12-16,84
2012-12-17,90
2012-12-18,97
2012-12-19,85
2012-12-20,84
2012-12-21,63
2012-12-22,102
2012-12-23,103
2012-12-24,59
2012-12-25,0
2012-12-26,113
2012-12-27,97
2012-12-28,92
2012-12-29,192
2012-12-30,114
2012-12-31,71
2013-01-01,0
2013-01-02,147
2013-01-03,113
2013-01-04,68
2013-01-05,140
2013-01-06,149
2013-01-07,111
2013-01-08,106
2013-01-09,127
2013-01-10,128
2013-01-11,55
2013-01-12,121
2013-01-13,219
2013-01-14,93
2013-01-15,61
2013-01-16,94
2013-01-17,123
2013-01-18,54
2013-01-19,196
2013-01-20,216
2013-01-21,99
2013-01-22,118
2013-01-23,114
2013-01-24,108
2013-01-25,45
2013-01-26,157
2013-01-27,229
2013-01-28,104
2013-01-29,82
2013-01-30,126
2013-01-31,99
2013-02-01,66
2013-02-02,199
2013-02-03,183
2013-02-04,96
2013-02-05,128
2013-02-06,126
2013-02-07,116
2013-02-08,58
2013-02-09,144
2013-02-10,222
2013-02-11,110
2013-02-12,97
2013-02-13,109
2013-02-14,81
2013-02-15,46
2013-02-16,159
2013-02-17,221
2013-02-18,137
2013-02-19,114
2013-02-20,123
2013-02-21,64
2013-02-22,63
2013-02-23,91
2013-02-24,248
2013-02-25,82
2013-02-26,103
2013-02-27,105
2013-02-28,95
2013-03-01,60
2013-03-02,179
2013-03-03,284
2013-03-04,108
2013-03-05,86
2013-03-06,118
2013-03-07,117
2013-03-08,48
2013-03-09,157
2013-03-10,220
2013-03-11,229
2013-03-12,263
2013-03-13,294
2013-03-14,318
2013-03-15,49
2013-03-16,355
2013-03-17,305
2013-03-18,152
2013-03-19,171
2013-03-20,177
2013-03-21,174
2013-03-22,59
2013-03-23,253
2013-03-24,287
2013-03-25,149
2013-03-26,152
2013-03-27,140
2013-03-28,151
2013-03-29,58
2013-03-30,275
2013-03-31,0
2013-04-01,157
2013-04-02,125
2013-04-03,163
2013-04-04,153
2013-04-05,65
2013-04-06,354
2013-04-07,480
2013-04-08,164
2013-04-09,135
2013-04-10,132
2013-04-11,155
2013-04-12,52
2013-04-13,417
2013-04-14,471
2013-04-15,198
2013-04-16,178
2013-04-17,145
2013-04-18,135
2013-04-19,54
2013-04-20,275
2013-04-21,448
2013-04-22,209
2013-04-23,134
2013-04-24,153
2013-04-25,118
2013-04-26,58
2013-04-27,519
2013-04-28,623
2013-04-29,212
2013-04-30,263
2013-05-01,244
2013-05-02,155
2013-05-03,52
2013-05-04,419
2013-05-05,348
2013-05-06,140
2013-05-07,163
2013-05-08,154
2013-05-09,168
2013-05-10,49
2013-05-11,331
2013-05-12,347
2013-05-13,243
2013-05-14,232
2013-05-15,251
2013-05-16,223
2013-05-17,66
2013-05-18,466
2013-05-19,494
2013-05-20,207
2013-05-21,258
2013-05-22,328
2013-05-23,519
2013-05-24,62
2013-05-25,1387
2013-05-26,601
2013-05-27,1442
2013-05-28,1309
2013-05-29,1191
2013-05-30,1350
2013-05-31,1209
2013-06-01,1451
2013-06-02,579
2013-06-03,1348
2013-06-04,1633
2013-06-05,1343
2013-06-06,1412
2013-06-07,1349
2013-06-08,1740
2013-06-09,929
2013-06-10,1735
2013-06-11,1914
2013-06-12,1517
2013-06-13,1386
2013-06-14,1188
2013-06-15,1371
2013-06-16,712
2013-06-17,1457
2013-06-18,1256
2013-06-19,1391
2013-06-20,1449
2013-06-21,1248
2013-06-22,1351
2013-06-23,834
2013-06-24,1260
2013-06-25,1088
2013-06-26,1503
2013-06-27,1614
2013-06-28,1230
2013-06-29,1396
2013-06-30,844
2013-07-01,1099
2013-07-02,1220
2013-07-03,1040
2013-07-04,837
2013-07-05,997
2013-07-06,895
2013-07-07,731
2013-07-08,939
2013-07-09,1124
2013-07-10,1348
2013-07-11,1012
2013-07-12,881
2013-07-13,1162
2013-07-14,824
2013-07-15,324
2013-07-16,688
2013-07-17,869
2013-07-18,874
2013-07-19,737
2013-07-20,592
2013-07-21,614
2013-07-22,758
2013-07-23,1093
2013-07-24,570
2013-07-25,766
2013-07-26,669
2013-07-27,631
2013-07-28,353
2013-07-29,749
2013-07-30,1089
2013-07-31,992
2013-08-01,654
2013-08-02,626
2013-08-03,749
2013-08-04,585
2013-08-05,738
2013-08-06,856
2013-08-07,621
2013-08-08,703
2013-08-09,514
2013-08-10,548
2013-08-11,413
2013-08-12,235
2013-08-13,184
2013-08-14,165
2013-08-15,131
2013-08-16,60
2013-08-17,389
2013-08-18,536
2013-08-19,162
2013-08-20,88
2013-08-21,181
2013-08-22,169
2013-08-23,57
2013-08-24,312
2013-08-25,351
2013-08-26,142
2013-08-27,135
2013-08-28,131
2013-08-29,138
2013-08-30,71
2013-08-31,347
2013-09-01,489
2013-09-02,157
2013-09-03,134
2013-09-04,139
2013-09-05,166
2013-09-06,57
2013-09-07,297
2013-09-08,286
2013-09-09,139
2013-09-10,81
2013-09-11,124
2013-09-12,102
2013-09-13,38
2013-09-14,137
2013-09-15,160
2013-09-16,142
2013-09-17,144
2013-09-18,86
2013-09-19,106
2013-09-20,48
2013-09-21,101
2013-09-22,108
2013-09-23,92
2013-09-24,113
2013-09-25,112
2013-09-26,113
2013-09-27,57
2013-09-28,107
2013-09-29,122
2013-09-30,118
2013-10-01,109
2013-10-02,105
2013-10-03,112
2013-10-04,45
2013-10-05,84
2013-10-06,81
2013-10-07,119
2013-10-08,103
2013-10-09,114
2013-10-10,121
2013-10-11,45
2013-10-12,120
2013-10-13,134
2013-10-14,110
2013-10-15,116
2013-10-16,145
2013-10-17,94
2013-10-18,78
2013-10-19,91
2013-10-20,124
2013-10-21,103
2013-10-22,120
2013-10-23,132
2013-10-24,98
2013-10-25,74
2013-10-26,116
2013-10-27,87
2013-10-28,106
2013-10-29,137
2013-10-30,126
2013-10-31,80
2013-11-01,80
2013-11-02,86
2013-11-03,100
2013-11-04,88
2013-11-05,109
2013-11-06,109
2013-11-07,117
2013-11-08,52
2013-11-09,104
2013-11-10,134
2013-11-11,95
2013-11-12,135
2013-11-13,114
2013-11-14,134
2013-11-15,64
2013-11-16,132
2013-11-17,127
2013-11-18,106
2013-11-19,113
2013-11-20,81
2013-11-21,106
2013-11-22,55
2013-11-23,96
2013-11-24,82
2013-11-25,83
2013-11-26,121
2013-11-27,104
2013-11-28,0
2013-11-29,58
2013-11-30,112
2013-12-01,95
2013-12-02,79
2013-12-03,150
2013-12-04,95
2013-12-05,24
2013-12-06,56
2013-12-07,115
2013-12-08,77
2013-12-09,96
2013-12-10,102
2013-12-11,109
2013-12-12,101
2013-12-13,62
2013-12-14,111
2013-12-15,106
2013-12-16,116
2013-12-17,110
2013-12-18,124
2013-12-19,121
2013-12-20,74
2013-12-21,86
2013-12-22,104
2013-12-23,115
2013-12-24,75
2013-12-25,0
2013-12-26,151
2013-12-27,76
2013-12-28,169
2013-12-29,170
2013-12-30,178
2013-12-31,79
2014-01-01,0
2014-01-02,183
2014-01-03,46
2014-01-04,181
2014-01-05,190
2014-01-06,133
2014-01-07,111
2014-01-08,123
2014-01-09,115
2014-01-10,68
2014-01-11,160
2014-01-12,218
2014-01-13,124
2014-01-14,135
2014-01-15,144
2014-01-16,131
2014-01-17,64
2014-01-18,206
2014-01-19,187
2014-01-20,157
2014-01-21,146
2014-01-22,126
2014-01-23,125
2014-01-24,53
2014-01-25,213
2014-01-26,209
2014-01-27,92
2014-01-28,97
2014-01-29,118
2014-01-30,127
2014-01-31,76
2014-02-01,182
2014-02-02,138
2014-02-03,136
2014-02-04,138
2014-02-05,92
2014-02-06,81
2014-02-07,62
2014-02-08,151
2014-02-09,247
2014-02-10,137
2014-02-11,171
2014-02-12,135
2014-02-13,127
2014-02-14,67
2014-02-15,244
2014-02-16,305
2014-02-17,202
2014-02-18,201
2014-02-19,157
2014-02-20,150
2014-02-21,71
2014-02-22,253
2014-02-23,288
2014-02-24,146
2014-02-25,159
2014-02-26,123
2014-02-27,158
2014-02-28,73
2014-03-01,202
2014-03-02,222
2014-03-03,162
2014-03-04,162
2014-03-05,146
2014-03-06,151
2014-03-07,151
2014-03-08,182
2014-03-09,264
2014-03-10,160
2014-03-11,180
2014-03-12,156
2014-03-13,158
2014-03-14,149
2014-03-15,236
2014-03-16,320
